name,index_sht,prov,prov_no,dist_no,pale,region,no_jew_count,jew_pop,tot_pop,lat,lon,census,full_name,type,jewpop_flag,comments,total,total_flag,prov_name,dist_name
Krasnoe,0402Kr2,Vilnius,4,2,Pale,Lithuania,0,573,1077,54.2333,27.0833,1,Krasnoe,mestechko,,,1077,,Vilnius,Vileika
Krivichi,0402Kr3,Vilnius,4,2,Pale,Lithuania,0,457,520,54.7167,27.2833,1,Krivichi,mestechko,,,520,,Vilnius,Vileika
Kurenets,0402Kr4,Vilnius,4,2,Pale,Lithuania,0,1613,1774,54.55,26.95,1,Kurenets,mestechko,,,1774,,Vilnius,Vileika
Lebedev,0402Lb1,Vilnius,4,2,Pale,Lithuania,0,1232,2275,54.3167,26.7,1,Lebedev (Lebedevo),mestechko,,,2275,,Vilnius,Vileika
Molodechno,0402Ml1,Vilnius,4,2,Pale,Lithuania,0,1105,2393,54.3167,26.85,1,Molodechno,mestechko,,,2393,,Vilnius,Vileika
Nivki,0402Nv1,Vilnius,4,2,Pale,Lithuania,1,,,54.65,27.1167,0,Nivki,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vileika
Novyi Miadziol,0402Nv2,Vilnius,4,2,Pale,Lithuania,0,436,1164,54.8667,26.9333,1,Novyi Miadziol (Novyi Miadel'),mestechko,,,1164,,Vilnius,Vileika
Parafianovo,0402Pr1,Vilnius,4,2,Pale,Lithuania,1,,,54.8833,27.6,0,Parafianovo,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vileika
Radoshkovichi,0402Rd1,Vilnius,4,2,Pale,Lithuania,0,1519,2615,54.15,27.2333,1,Radoshkovichi,zashtatnyi gorod,,,2615,,Vilnius,Vileika
Vileika,0402Vl1,Vilnius,4,2,Pale,Lithuania,0,1328,3560,54.5,26.9167,1,Vileika,Uezdnyi gorod,,,3560,,Vilnius,Vileika
Volkolata,0402Vl2,Vilnius,4,2,Pale,Lithuania,0,69,543,54.91667,27.36667,1,Volkolata,selo,,,543,,Vilnius,Vileika
Viazyn',0402Vz1,Vilnius,4,2,Pale,Lithuania,0,234,604,54.4167,27.1667,1,Viazyn',mestechko,,The district is incorrect in Jewishgen,604,,Vilnius,Vileika
Druia,0403Dr1,Vilnius,4,3,Pale,Lithuania,0,3006,4742,55.7833,27.45,1,Druia,Zashtatnyi gorod,,,4742,,Vilnius,Disna
Disna,0403Ds1,Vilnius,4,3,Pale,Lithuania,0,4617,6756,55.5667,28.2167,1,Disna,Uezdnyi gorod,,,6756,,Vilnius,Disna
Glubokoe,0403Gl1,Vilnius,4,3,Pale,Lithuania,0,3917,5564,55.13334,27.66667,1,Glubokoe,mestechko,,Name of district as it mentioned in census,5564,,Vilnius,Disna
Golubiche,0403Gl2,Vilnius,4,3,Pale,Lithuania,1,,,55.1167,27.9667,0,Golubiche,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Disna
Germanoviche,0403Gr1,Vilnius,4,3,Pale,Lithuania,1,,,55.4,27.8,0,Germanoviche,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Disna
Iody,0403Id1,Vilnius,4,3,Pale,Lithuania,1,,,55.45,27.2333,0,Iody,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Disna
Ikazn',0403Ik1,Vilnius,4,3,Pale,Lithuania,0,78,673,55.61666,27.25,1,Ikazn',selo,,,673,,Vilnius,Disna
Koziany-I,0403Kz1,Vilnius,4,3,Pale,Lithuania,0,139,742,55.3,26.8667,1,Koziany-I,selo,,,742,,Vilnius,Disna
Kozlovshchina,0403Kz2,Vilnius,4,3,Pale,Lithuania,1,,,55.1833,27.3667,0,Kozlovshchina,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Disna
Leonpol',0403Ln1,Vilnius,4,3,Pale,Lithuania,1,,,55.8,27.7833,0,Leonpol',,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Disna
Luzhki,0403Lz1,Vilnius,4,3,Pale,Lithuania,0,761,1672,55.35,27.8667,1,Luzhki,mestechko,,,1672,,Vilnius,Disna
Miory,0403Mr1,Vilnius,4,3,Pale,Lithuania,1,,,55.6167,27.6333,0,Miory,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Disna
Novo-Pogost,0403Nv1,Vilnius,4,3,Pale,Lithuania,0,118,607,55.5,27.4833,1,Novo-Pogost (selo Novo-Pogost),mestechko,,,607,,Vilnius,Disna
Plisa,0403Pl1,Vilnius,4,3,Pale,Lithuania,0,366,899,55.2167,27.95,1,Plisa,mestechko,,,899,,Vilnius,Disna
Perebrod'e,0403Pr1,Vilnius,4,3,Pale,Lithuania,0,176,675,55.61666,27.38333,1,Perebrod'e,mestechko,,,675,,Vilnius,Disna
Prozoroki,0403Pr2,Vilnius,4,3,Pale,Lithuania,1,,,55.3,28.2167,0,Prozoroki,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Disna
Postavy,0403Ps1,Vilnius,4,3,Pale,Lithuania,0,1310,2397,55.1167,26.8333,1,Postavy,mestechko,,,2397,,Vilnius,Disna
Sharkovshchizna,0403Sr1,Vilnius,4,3,Pale,Lithuania,0,1007,1165,55.3667,27.4667,1,"Sharkovshchizna (Novo-Sharkovshchizna, Novo-Sharovshchina)",mestechko,,"No last digit in total population, need to be checked, according to http://be-x-old.wikipedia.org/wiki/%D0%A8%D0%B0%D1%80%D0%BA%D0%BE%D1%9E%D1%88%D1%87%D1%8B%D0%BD%D0%B0 - 1165",1165,,Vilnius,Disna
Zheludok,0403Zl1,Vilnius,4,3,Pale,Lithuania,0,1372,1860,53.6,24.9833,1,Zheludok (Zheludek),mestechko,,,1860,,Vilnius,Disna
Zaskevichi,0403Zs1,Vilnius,4,3,Pale,Lithuania,1,,,54.4,26.6167,0,Zaskevichi,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Disna
Bielitsy,0404Bl1,Vilnius,4,4,Pale,Lithuania,0,679,1686,53.65,25.3167,1,Bielitsy,mestechko,,,1686,,Vilnius,Lida
Beniakoni,0404Bn1,Vilnius,4,4,Pale,Lithuania,1,,,54.25,25.3667,0,Beniakoni,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Lida
Dubrovo,0404Db1,Vilnius,4,4,Pale,Lithuania,1,,,53.55,25.05,0,Dubrovo,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Lida
Dvortsovaia sloboda,0404Dv1,Vilnius,4,4,Pale,Lithuania,0,68,505,53.88334,25.3,1,Dvortsovaia sloboda,derevnia,,,505,,Vilnius,Lida
Eishishki,0404Es1,Vilnius,4,4,Pale,Lithuania,0,2376,3196,54.1667,25,1,Eishishki,mestechko,,,3196,,Vilnius,Lida
Lida,0404Ld1,Vilnius,4,4,Pale,Lithuania,0,5294,9323,53.8833,25.3,1,Lida,Uezdnyi gorod,,,9323,,Vilnius,Lida
Novyi Dvor,0404Nv1,Vilnius,4,4,Pale,Lithuania,0,664,822,53.8,24.5667,1,Novyi Dvor,mestechko,,,822,,Vilnius,Lida
Orlia,0404Or1,Vilnius,4,4,Pale,Lithuania,0,354,804,53.5,24.9833,1,Orlia,mestechko,,,804,,Vilnius,Lida
Ostrino,0404Os1,Vilnius,4,4,Pale,Lithuania,0,1440,2410,53.7333,24.5333,1,Ostrino,mestechko,,,2410,,Vilnius,Lida
Radun',0404Rd1,Vilnius,4,4,Pale,Lithuania,0,896,1621,54.05,25,1,Radun',mestechko,,,1621,,Vilnius,Lida
