id,name,name_he,viv,viv_code,powiat,sum_group,value,addition,addition_type,group,geocode,modern_name,lat,lon,galil,galil_id,wikidata,wikipedia,osm_id,text,is_child,parent_id
71,Miłosław,מילוסלב,Kalisz,KLS,Pyzdrski.,KLS_3,136,,,,KLS_MILOSLAW,"Miłosław, Września County, Greater Poland Voivodeship, Poland",52.20307,17.48955,Great Poland,3,Q1025299,pl:Miłosław,2666257,Miasto Miłosław,0,
72,Krotoszyn,קרוטושין,Kalisz,KLS,Pyzdrski.,KLS_3,1524,,,,KLS_KROTOSZYN,"Krotoszyn, Greater Poland Voivodeship, Poland",51.6961912,17.4346413,Great Poland,3,Q984538,pl:Krotoszyn,2705296,Miasto Krotoszyn,0,
73,Żerkow,ז'רקוב,Kalisz,KLS,Pyzdrski.,KLS_3,76,,,,KLS_ZERKOW,"Żerków, Jarocin County, Greater Poland Voivodeship, Poland",52.0685167,17.5629153,Great Poland,3,Q393119,pl:Żerków,2670885,Miasto Żerkow,0,
75,Kcynia,קציניה,Kalisz,KLS,Kcyński.,KLS_4,361,,,,KLS_KCYNIA,"Kcynia, Nakło County, Kuyavian-Pomeranian Voivodeship, Poland",52.99166,17.48843,Great Poland,3,Q1003283,pl:Kcynia,2634361,Miasto Kcynia,0,
76,Chodzież,חודזיז,Kalisz,KLS,Kcyński.,KLS_4,644,,,,KLS_CHODZIEZ,"Chodzież, Greater Poland Voivodeship, Poland",52.995267,16.9198184,Great Poland,3,Q51434,pl:Chodzież,2858872,Miasto Chodzież,0,
77,Gołacza,גולנץ',Kalisz,KLS,Kcyński.,KLS_4,193,,,,KLS_GOLANCZ,"Gołańcz, Wągrowiec County, Greater Poland Voivodeship, Poland",52.9432129,17.2996897,Great Poland,3,Q52828,pl:Gołańcz,2716794,Miasto Gołacza,0,
78,Margonin,מרגונין,Kalisz,KLS,Kcyński.,KLS_4,316,,,,KLS_MARGONIN,"Margonin, Chodzież County, Greater Poland Voivodeship, Poland",52.9731367,17.0947488,Great Poland,3,Q990186,pl:Margonin,2718275,Miasto Margonin,0,
79,Łabiszyn,לבישין,Kalisz,KLS,Kcyński.,KLS_4,364,,,,KLS_LABISZYN,"Łabiszyn, Żnin County, Kuyavian-Pomeranian Voivodeship, Poland",52.36792201,18.17789848,Great Poland,3,,,,Miasto Łabiszyn,0,
80,Barcin,ברצ׳ין,Kalisz,KLS,Kcyński.,KLS_4,50,,,,KLS_BARCIN,"Barcin, Żnin County, Kuyavian-Pomeranian Voivodeship, Poland",52.8661061,17.9462615,Great Poland,3,Q1007355,pl:Barcin,2845822,Miasto Barcin,0,
82,Gniezno,גנייזנו,Kalisz,KLS,Gnieźnienski,KLS_5,251,,,,KLS_GNIEZNO,"Gniezno, Greater Poland Voivodeship, Poland",52.5349253,17.5826575,Great Poland,3,Q51432,,878834418,Miasto Gniezno,0,
